# epochs,alpha,scale,low,acc,,,scale,acc
10,0.0005,2,0.005,0.5429,0.8501,,2,0.8501
10,0.001,2,0.005,0.5203,,,4,0.8903
10,0.005,2,0.005,0.4466,,,8,0.9
10,0.0005,2,0.01,0.6817,,,16,0.9004
10,0.001,2,0.01,0.6208,,,32,0.9019
10,0.005,2,0.01,0.4891,,,,
10,0.0005,2,0.015,0.7348,,,,
10,0.001,2,0.015,0.6848,,,,
10,0.005,2,0.015,0.5394,,,,
10,0.0005,2,0.02,0.7554,,,,
10,0.001,2,0.02,0.7212,,,,
10,0.005,2,0.02,0.5806,,,,
10,0.0005,2,0.025,0.7704,,,,
10,0.001,2,0.025,0.7435,,,,
10,0.005,2,0.025,0.6134,,,,
10,0.0005,2,0.03,0.7807,,,,
10,0.001,2,0.03,0.7574,,,,
10,0.005,2,0.03,0.6383,,,,
10,0.0005,2,0.035,0.7869,,,,
10,0.001,2,0.035,0.7717,,,,
10,0.005,2,0.035,0.6598,,,,
10,0.0005,2,0.04,0.7966,,,,
10,0.001,2,0.04,0.7817,,,,
10,0.005,2,0.04,0.6779,,,,
10,0.0005,2,0.045,0.8034,,,,
10,0.001,2,0.045,0.7907,,,,
10,0.005,2,0.045,0.694,,,,
10,0.0005,2,0.05,0.8079,,,,
10,0.001,2,0.05,0.7984,,,,
10,0.005,2,0.05,0.7065,,,,
10,0.0005,2,0.055,0.8128,,,,
10,0.001,2,0.055,0.8029,,,,
10,0.005,2,0.055,0.7182,,,,
10,0.0005,2,0.06,0.819,,,,
10,0.001,2,0.06,0.8097,,,,
10,0.005,2,0.06,0.7276,,,,
10,0.0005,2,0.065,0.8245,,,,
10,0.001,2,0.065,0.8148,,,,
10,0.005,2,0.065,0.7376,,,,
10,0.0005,2,0.07,0.8295,,,,
10,0.001,2,0.07,0.82,,,,
10,0.005,2,0.07,0.7482,,,,
10,0.0005,2,0.075,0.8342,,,,
10,0.001,2,0.075,0.8249,,,,
10,0.005,2,0.075,0.7559,,,,
10,0.0005,2,0.08,0.8375,,,,
10,0.001,2,0.08,0.8302,,,,
10,0.005,2,0.08,0.762,,,,
10,0.0005,2,0.085,0.8419,,,,
10,0.001,2,0.085,0.8342,,,,
10,0.005,2,0.085,0.7694,,,,
10,0.0005,2,0.09,0.845,,,,
10,0.001,2,0.09,0.8384,,,,
10,0.005,2,0.09,0.7757,,,,
10,0.0005,2,0.095,0.8478,,,,
10,0.001,2,0.095,0.8424,,,,
10,0.005,2,0.095,0.7819,,,,
10,0.0005,2,0.1,0.8501,,,,
10,0.001,2,0.1,0.8453,,,,
10,0.005,2,0.1,0.7897,,,,
10,0.0005,4,0.005,0.7344,0.8903,,,
10,0.001,4,0.005,0.6851,,,,
10,0.005,4,0.005,0.5394,,,,
10,0.0005,4,0.01,0.7799,,,,
10,0.001,4,0.01,0.7582,,,,
10,0.005,4,0.01,0.6383,,,,
10,0.0005,4,0.015,0.8031,,,,
10,0.001,4,0.015,0.7904,,,,
10,0.005,4,0.015,0.694,,,,
10,0.0005,4,0.02,0.8185,,,,
10,0.001,4,0.02,0.8102,,,,
10,0.005,4,0.02,0.7274,,,,
10,0.0005,4,0.025,0.8334,,,,
10,0.001,4,0.025,0.8252,,,,
10,0.005,4,0.025,0.7551,,,,
10,0.0005,4,0.03,0.8441,,,,
10,0.001,4,0.03,0.8381,,,,
10,0.005,4,0.03,0.7757,,,,
10,0.0005,4,0.035,0.854,,,,
10,0.001,4,0.035,0.8498,,,,
